race_date,stadium_id,race_number,boat_number,course_number,racer_number,racer_name,place,start_timing,wind_speed,wind_direction,wave_height,weather,air_temperature,water_temperature,payout_trio,payout_trifecta,official_national_win_rate,official_national_top2_rate,official_national_top3_rate,official_local_win_rate,official_local_top2_rate,official_local_top3_rate,official_avg_st,racer_class,flying_count,late_count,motor_number,motor_top2_rate,motor_top3_rate,boat_number_assigned,boat_top2_rate,boat_top3_rate,racer_age,racer_branch,racer_weight,race_grade,is_final,is_semifinal,exhibition_time,tilt,preview_st,preview_weight,race_wind_live,race_wave_live
2025-07-15,18,1,1,1.0,3333.0,丸尾 義孝,1.0,0.19,,,,,,,510.0,1190.0,5.55,37.74,58.49,4.73,30.0,46.67,0.16,2,0,0,53,36.21,55.17,,31.29,52.76,57.0,36.0,52.6,5.0,0.0,0.0,7.07,0.0,0.27,52.6,5.0,5.0
2025-07-15,18,1,2,2.0,5230.0,石原 凪紗,3.0,0.15,,,,,,,510.0,1190.0,4.07,18.18,36.36,2.0,0.0,0.0,0.2,4,0,0,11,19.23,40.38,,29.88,50.0,21.0,23.0,44.0,5.0,0.0,0.0,6.96,0.0,0.03,44.0,5.0,5.0
2025-07-15,18,1,3,3.0,5003.0,来田 衣織,6.0,0.22,,,,,,,510.0,1190.0,3.99,21.05,33.68,2.88,11.54,23.08,0.19,3,0,0,62,24.32,40.54,,38.13,55.63,29.0,28.0,52.5,5.0,0.0,0.0,7.05,-0.5,0.21,52.5,5.0,5.0
2025-07-15,18,1,4,4.0,3233.0,小畑 実成,2.0,0.16,,,,,,,510.0,1190.0,4.85,29.09,48.18,3.65,8.7,34.78,0.15,3,0,0,49,32.73,49.09,,33.95,50.62,58.0,33.0,52.9,5.0,0.0,0.0,7.13,-0.5,0.06,52.9,5.0,5.0
2025-07-15,18,1,5,5.0,3741.0,松尾 基成,4.0,0.21,,,,,,,510.0,1190.0,3.67,17.44,29.07,5.04,29.17,50.0,0.19,3,0,0,15,53.33,71.11,,37.42,49.69,51.0,40.0,55.4,5.0,0.0,0.0,7.11,-0.5,0.05,55.4,5.0,5.0
2025-07-15,18,1,6,6.0,3690.0,河合 三弘,5.0,0.14,,,,,,,510.0,1190.0,4.63,30.21,39.58,4.41,23.53,35.29,0.18,3,0,0,45,32.73,43.64,,40.63,56.25,54.0,23.0,52.6,5.0,0.0,0.0,7.12,0.0,-0.02,52.6,5.0,5.0
2025-07-15,18,2,1,1.0,4509.0,平見 真彦,1.0,0.19,,,,,,,430.0,1140.0,6.01,36.89,63.11,5.1,30.0,55.0,0.18,1,1,0,67,16.67,27.08,,25.95,46.2,36.0,23.0,53.2,5.0,0.0,0.0,7.03,0.0,-0.09,53.2,3.0,3.0
2025-07-15,18,2,2,2.0,3907.0,村越 篤,2.0,0.13,,,,,,,430.0,1140.0,5.46,36.67,53.33,6.13,42.11,57.89,0.17,3,0,0,26,38.78,51.02,,36.42,51.23,47.0,37.0,54.1,5.0,0.0,0.0,7.04,-0.5,-0.03,54.1,3.0,3.0
2025-07-15,18,2,3,3.0,3349.0,吉田 一郎,4.0,0.11,,,,,,,430.0,1140.0,5.99,37.78,61.11,6.03,40.0,57.5,0.16,2,0,0,13,17.54,29.82,,35.15,46.67,57.0,42.0,52.3,5.0,0.0,0.0,7.07,-0.5,-0.07,52.3,3.0,3.0
2025-07-15,18,2,4,4.0,3909.0,佐々木 康幸,3.0,0.1,,,,,,,430.0,1140.0,6.75,50.41,61.79,5.91,36.36,63.64,0.11,2,0,0,39,37.5,60.42,,36.65,50.93,51.0,22.0,54.2,5.0,0.0,0.0,7.12,0.0,-0.08,54.2,3.0,3.0
