strategy,prob_min,prob_max,gap_min,n_races,n_tickets,hit_rate,roi
top2_fix_nagashi,0.6,0.7,0.3,652,1956,50.8,80.0
top2_fix_nagashi,0.6,0.7,0.0,653,1959,50.8,79.9
top2_fix_nagashi,0.6,0.7,0.2,653,1959,50.8,79.9
top2_fix_nagashi,0.6,0.7,0.1,653,1959,50.8,79.9
p3_box,0.3,0.5,0.2,1524,1524,25.3,79.8
p3_box,0.3,0.5,0.3,203,203,20.7,79.6
p3_box,0.4,0.5,0.3,203,203,20.7,79.6
honmei_1pt,0.6,0.7,0.0,653,653,21.4,79.5
honmei_1pt,0.6,0.7,0.2,653,653,21.4,79.5
honmei_1pt,0.6,0.7,0.1,653,653,21.4,79.5
p3_box,0.4,0.5,0.2,1498,1498,25.4,79.4
honmei_1pt,0.6,0.7,0.3,652,652,21.3,79.3
axis_nagashi,0.3,0.4,0.0,1335,4005,48.8,78.7
honmei_hazushi,0.3,0.5,0.3,203,812,11.8,77.9
honmei_hazushi,0.4,0.5,0.3,203,812,11.8,77.9
p3_box,0.4,0.5,0.1,2606,2606,26.5,77.7
p3_box,0.3,0.6,0.2,3406,3406,24.5,77.7
p3_box,0.6,0.7,0.2,653,653,23.9,77.6
p3_box,0.4,0.5,0.0,2861,2861,26.7,77.6
p3_box,0.6,0.7,0.0,653,653,23.9,77.6
p3_box,0.6,0.7,0.1,653,653,23.9,77.6
p3_box,0.3,0.7,0.2,4059,4059,24.4,77.6
honmei_1pt,0.5,0.7,0.2,2535,2535,22.8,77.5
p3_box,0.4,0.7,0.2,4033,4033,24.4,77.5
p3_box,0.6,0.7,0.3,652,652,23.8,77.4
p3_box,0.4,0.6,0.2,3380,3380,24.5,77.4
honmei_1pt,0.5,0.7,0.3,1982,1982,21.7,77.3
axis_nagashi,0.5,0.6,0.1,1972,5916,52.4,77.2
axis_nagashi,0.5,0.7,0.1,2625,7875,52.8,77.1
axis_nagashi,0.5,0.6,0.0,1977,5931,52.3,77.0
axis_nagashi,0.5,0.6,0.2,1882,5646,52.3,77.0
axis_nagashi,0.5,0.7,0.2,2535,7605,52.7,77.0
axis_nagashi,0.6,0.7,0.0,653,1959,54.1,77.0
axis_nagashi,0.5,0.7,0.0,2630,7890,52.7,77.0
axis_nagashi,0.6,0.7,0.3,652,1956,54.0,77.0
axis_nagashi,0.6,0.7,0.1,653,1959,54.1,77.0
axis_nagashi,0.6,0.7,0.2,653,1959,54.1,77.0
p3_box,0.4,0.7,0.0,5491,5491,25.3,76.9
axis_nagashi,0.5,0.7,0.3,1982,5946,52.1,76.9
p3_box,0.4,0.7,0.1,5231,5231,25.2,76.9
axis_nagashi,0.4,0.7,0.3,2185,6555,51.9,76.8
axis_nagashi,0.3,0.7,0.3,2185,6555,51.9,76.8
axis_nagashi,0.5,0.6,0.3,1330,3990,51.1,76.8
p3_box,0.4,0.6,0.0,4838,4838,25.5,76.8
honmei_1pt,0.5,0.6,0.2,1882,1882,23.3,76.8
p3_box,0.4,0.6,0.1,4578,4578,25.4,76.8
axis_nagashi,0.4,0.6,0.3,1533,4599,50.9,76.7
axis_nagashi,0.3,0.6,0.3,1533,4599,50.9,76.7
honmei_1pt,0.5,0.7,0.0,2630,2630,22.7,76.7
honmei_1pt,0.5,0.7,0.1,2625,2625,22.7,76.7
p3_box,0.5,0.7,0.2,2535,2535,23.8,76.3
axis_nagashi,0.3,0.7,0.2,4059,12177,52.8,76.3
axis_nagashi,0.4,0.7,0.2,4033,12099,52.9,76.3
honmei_1pt,0.5,0.6,0.3,1330,1330,22.0,76.2
axis_nagashi,0.3,0.6,0.2,3406,10218,52.5,76.2
axis_nagashi,0.4,0.6,0.2,3380,10140,52.6,76.2
top2_fix_nagashi,0.3,0.4,0.1,562,1686,44.7,76.2
p3_box,0.5,0.7,0.0,2630,2630,23.8,76.1
p3_box,0.5,0.7,0.1,2625,2625,23.8,76.1
weak1_box,0.3,0.5,0.1,619,2476,18.7,76.0
honmei_1pt,0.3,0.7,0.2,4059,4059,22.6,75.9
weak1_box,0.3,0.4,0.1,561,2244,16.9,75.9
p3_box,0.5,0.6,0.2,1882,1882,23.8,75.9
honmei_1pt,0.4,0.7,0.2,4033,4033,22.7,75.8
honmei_1pt,0.5,0.6,0.0,1977,1977,23.1,75.8
top2_fix_nagashi,0.5,0.7,0.3,1982,5946,49.1,75.8
axis_nagashi,0.3,0.5,0.3,203,609,49.8,75.7
axis_nagashi,0.4,0.5,0.3,203,609,49.8,75.7
honmei_1pt,0.5,0.6,0.1,1972,1972,23.1,75.7
p3_box,0.5,0.6,0.1,1972,1972,23.8,75.7
axis_nagashi,0.3,0.7,0.0,6826,20478,52.2,75.7
axis_nagashi,0.4,0.7,0.1,5231,15693,53.2,75.6
axis_nagashi,0.3,0.6,0.0,6173,18519,52.0,75.6
p3_box,0.5,0.6,0.0,1977,1977,23.8,75.6
p3_box,0.3,0.7,0.1,5793,5793,24.7,75.6
p3_box,0.3,0.6,0.1,5140,5140,24.8,75.4
axis_nagashi,0.4,0.6,0.1,4578,13734,53.1,75.4
top2_fix_nagashi,0.5,0.7,0.2,2535,7605,50.8,75.4
p3_box,0.3,0.7,0.0,6826,6826,24.7,75.3
honmei_1pt,0.3,0.6,0.2,3406,3406,22.8,75.2
axis_nagashi,0.3,0.7,0.1,5793,17379,52.5,75.2
axis_nagashi,0.4,0.5,0.2,1498,4494,53.1,75.2
p3_box,0.3,0.5,0.1,3168,3168,25.3,75.2
top2_fix_nagashi,0.5,0.7,0.1,2625,7875,51.0,75.2
weak1_box,0.3,0.6,0.1,656,2624,19.2,75.2
axis_nagashi,0.3,0.5,0.2,1524,4572,52.8,75.2
top2_fix_nagashi,0.5,0.7,0.0,2630,7890,51.0,75.1
honmei_1pt,0.4,0.6,0.2,3380,3380,22.9,75.1
p3_box,0.3,0.6,0.0,6173,6173,24.8,75.1
honmei_1pt,0.3,0.7,0.3,2185,2185,21.1,75.1
honmei_1pt,0.4,0.7,0.3,2185,2185,21.1,75.1
honmei_1pt,0.4,0.7,0.0,5491,5491,23.8,75.1
honmei_1pt,0.3,0.7,0.0,6826,6826,23.4,75.0
p3_box,0.3,0.7,0.3,2185,2185,22.2,75.0
axis_nagashi,0.4,0.7,0.0,5491,16473,53.1,75.0
p3_box,0.4,0.7,0.3,2185,2185,22.2,75.0
top2_fix_nagashi,0.3,0.4,0.0,1335,4005,47.6,74.9
axis_nagashi,0.3,0.5,0.0,4196,12588,51.9,74.9
axis_nagashi,0.3,0.6,0.1,5140,15420,52.3,74.9
axis_nagashi,0.4,0.6,0.0,4838,14514,52.9,74.8
p3_box,0.3,0.5,0.0,4196,4196,25.2,74.8
weak1_box,0.3,0.7,0.1,662,2648,19.2,74.7
honmei_1pt,0.4,0.7,0.1,5231,5231,23.6,74.7
honmei_1pt,0.4,0.6,0.0,4838,4838,24.1,74.5
honmei_1pt,0.3,0.6,0.0,6173,6173,23.7,74.5
top2_fix_nagashi,0.3,0.7,0.3,2185,6555,48.2,74.5
